序号,item_id,user_item_id,user_name,site_name,publish_date_date,publish_date_hour,language,sentiment,like_cnt,comment_cnt,interaction_cnt,content_len,has_pic,is_robot,is_sensitive_politics,is_sensitive_vice,cat_id,url,fingerprint,id
1,C5BulRKLnU0,8640630046,spicy_charmante,Instagram,20240328,2024032802,en,0,81,21,102,597,1,1,0,0,37,https://www.instagram.com/p/C5BulRKLnU0,9ba806dbbed76a185a98bac11813fedf,0f72d11ffe5a6046ca6dd694aa9dcb24
2,Cjgv4qwjzoV,1401079033,celia.teixeira.1848,Instagram,20221010,2022101007,pt,0,26,7,33,29,1,1,0,0,37,https://www.instagram.com/reel/Cjgv4qwjzoV,df86629485a312be5e11014eac7d375f,33ed76082872e162cbb5295c511818de
3,BaCr5Y0AdAy,5492155843,suggar5857,Instagram,20171010,2017101005,,0,0,0,0,0,1,1,0,0,37,https://www.instagram.com/reel/BaCr5Y0AdAy,d41d8cd98f00b204e9800998ecf8427e,2230a0ee05ddbaaf15b3276115bac0bd
4,DEGti9eoM4o,6075338752,alireza110.official,Instagram,20241228,2024122810,fa,0,17,0,17,17,0,1,0,0,37,https://www.instagram.com/p/DEGti9eoM4o,0fc08e75bf2340dc3304fd18db59577b,80517fd1766f936b67b6847966b27e8d
5,C3GPSKSppLf,5915598934,taniahernadessemijoias,Instagram,20240209,2024020903,pt,0,2,0,2,86,1,1,0,0,37,https://www.instagram.com/reel/C3GPSKSppLf,a144c601c61da9d104014e4a0c3c554a,497eedf86217f516bb38dfdcf7325ecb
6,DARRUWvCS9c,1167399266,ivantomic1994,Instagram,20240924,2024092402,,0,6,0,6,0,0,1,0,0,37,https://www.instagram.com/p/DARRUWvCS9c,d41d8cd98f00b204e9800998ecf8427e,6f4f8acedba8b7db8825751d743c829e
7,B7Bd3ySD8_u,4341450852,unlock_the_moments,Instagram,20200107,2020010723,en,0,79,0,79,307,1,1,0,0,37,https://www.instagram.com/reel/B7Bd3ySD8_u,b567996782bc73d5f20689d0944ff3b9,58c047c6a85e7db3b116987b18411b90
8,C9bymh_yPqd,1919292301,nobelfoodlord,Instagram,20240715,2024071515,en,0,32,0,32,182,0,1,0,0,37,https://www.instagram.com/p/C9bymh_yPqd,2cefd4c2c1607b4cf21d94f1f2ee6d8b,b54e72abab1444c92a510baa1ec8a702
9,Cm4QHNNvxTi,51142492696,padhiyarmayur11,Instagram,20230102,2023010200,id,0,34,0,34,8,0,1,0,0,37,https://www.instagram.com/p/Cm4QHNNvxTi,b00204c0e8f0e01b9315ced1c9da823a,034cb41d90e662a58afdb2df5792f41a
10,CSeh_7-polG,7358111575,pokchek_perasu,Instagram,20210812,2021081222,sq,0,53,0,53,1297,1,1,0,0,37,https://www.instagram.com/reel/CSeh_7-polG,1deb108ab5de298ccad1e9c960f8a5db,aeec2a317791d521a7652eaaca989da3
